Run, Hit, HitSpeed, StopPos 
00007, 00288, 00338, 00409
00008, 00288, 00328, 00400
00009, 00288, 00363, 00399
00010, 00288, 00383, 00399
00011, 00288, 00341, 00407
00012, 00288, 00348, 00407
00013, 00288, 00333, 00409
00014, 00288, 00330, 00413
00015, 00288, 00363, 00405
00016, 00288, 00313, 00403
00017, 00288, 00320, 00404
00018, 00288, 00331, 00412
00019, 00288, 00367, 00413
00020, 00288, 00333, 00413
00021, 00288, 00323, 00417
00022, 00288, 00311, 00412
00023, 00288, 00343, 00407
00024, 00288, 00368, 00402
00025, 00288, 00321, 00408
00026, 00288, 00369, 00409
00027, 00288, 00331, 00405
00028, 00288, 00315, 00410
00029, 00288, 00315, 00411
00030, 00288, 00365, 00410
00031, 00288, 00335, 00406
00032, 00288, 00359, 00411
00033, 00288, 00336, 00413
00034, 00288, 00331, 00406
00035, 00288, 00330, 00414
00036, 00288, 00296, 00417
00037, 00288, 00335, 00411
00038, 00288, 00369, 00401
00039, 00288, 00378, 00405
00040, 00288, 00336, 00409
00041, 00288, 00331, 00404
00042, 00288, 00326, 00409
00043, 00288, 00331, 00412
00044, 00288, 00312, 00413
00045, 00288, 00338, 00407
00046, 00288, 00328, 00409
00047, 00288, 00334, 00407
00048, 00288, 00343, 00408
00049, 00288, 00359, 00413
00050, 00288, 00331, 00417
00051, 00288, 00317, 00418
00052, 00288, 00343, 00406
00053, 00288, 00335, 00403
00054, 00288, 00338, 00408
00055, 00288, 00329, 00409
00056, 00288, 00336, 00408
00057, 00288, 00338, 00411
00058, 00288, 00345, 00415
00059, 00288, 00335, 00408
00060, 00288, 00353, 00406
00061, 00288, 00363, 00406
00062, 00288, 00308, 00412
00063, 00288, 00340, 00411
00064, 00288, 00350, 00415
00065, 00288, 00327, 00417
00066, 00288, 00304, 00406
00067, 00288, 00377, 00402
00068, 00288, 00333, 00403
00069, 00288, 00333, 00411
00070, 00288, 00368, 00408
00071, 00288, 00328, 00409
00072, 00288, 00306, 00414
00073, 00288, 00323, 00408
00074, 00288, 00335, 00408
00075, 00288, 00341, 00403
00076, 00288, 00362, 00412
00077, 00288, 00339, 00409
00078, 00288, 00306, 00410
00079, 00288, 00320, 00414
00080, 00288, 00318, 00412
00081, 00288, 00315, 00413
00082, 00288, 00338, 00408
00083, 00288, 00335, 00412
00084, 00288, 00311, 00402
00085, 00288, 00373, 00403
00086, 00288, 00323, 00409
00087, 00288, 00311, 00413
00088, 00288, 00314, 00413
00089, 00288, 00373, 00405
00090, 00288, 00351, 00410
00091, 00288, 00308, 00408
00092, 00288, 00316, 00409
00093, 00288, 00353, 00411
00094, 00288, 00339, 00416
00095, 00288, 00349, 00413
00096, 00288, 00370, 00402
00097, 00288, 00312, 00404
00098, 00288, 00339, 00405
00099, 00288, 00368, 00406
00100, 00288, 00336, 00411
00101, 00288, 00318, 00416
00102, 00288, 00321, 00412
00103, 00288, 00361, 00402
00104, 00288, 00316, 00403
00105, 00288, 00313, 00411
00106, 00288, 00335, 00411
00107, 00288, 00333, 00411
00108, 00288, 00312, 00415
00109, 00288, 00322, 00413
00110, 00288, 00330, 00408
00111, 00288, 00323, 00409
00112, 00288, 00371, 00408
00113, 00288, 00328, 00407
00114, 00288, 00324, 00407
00115, 00288, 00311, 00412
00116, 00288, 00331, 00411
00117, 00288, 00327, 00405
00118, 00288, 00346, 00408
00119, 00288, 00311, 00411
00120, 00288, 00353, 00413
00121, 00288, 00361, 00407
00122, 00288, 00353, 00410
00123, 00288, 00326, 00416
00124, 00288, 00315, 00410
00125, 00288, 00340, 00407
00126, 00288, 00345, 00403
00127, 00288, 00335, 00408
00128, 00288, 00313, 00403
00129, 00288, 00360, 00409
00130, 00288, 00313, 00415
00131, 00288, 00331, 00409
00132, 00288, 00326, 00408
00133, 00288, 00342, 00405
00134, 00288, 00322, 00412
00135, 00288, 00333, 00404
00136, 00288, 00320, 00407
00137, 00288, 00318, 00416
00138, 00288, 00313, 00412
00139, 00288, 00313, 00414
00140, 00288, 00340, 00408
00141, 00288, 00311, 00412
00142, 00288, 00339, 00404
00143, 00288, 00327, 00407
00144, 00288, 00311, 00410
00145, 00288, 00318, 00411
00146, 00288, 00326, 00412
00147, 00288, 00313, 00407
00148, 00288, 00318, 00410
00149, 00288, 00328, 00406
00150, 00288, 00333, 00408
00151, 00288, 00323, 00414
00152, 00288, 00341, 00416
00153, 00288, 00323, 00413
00154, 00288, 00313, 00403
00155, 00288, 00368, 00404
00156, 00288, 00350, 00408
00157, 00288, 00368, 00407
00158, 00288, 00333, 00411
00159, 00288, 00360, 00415
00160, 00288, 00353, 00413
00161, 00288, 00340, 00405
00162, 00288, 00315, 00405
00163, 00288, 00348, 00408
00164, 00288, 00337, 00409
00165, 00288, 00366, 00413
00166, 00288, 00308, 00415
00167, 00288, 00337, 00412
00168, 00288, 00311, 00405
00169, 00288, 00318, 00408
00170, 00288, 00315, 00415
00171, 00288, 00351, 00411
00172, 00288, 00369, 00408
00173, 00288, 00303, 00408
00174, 00288, 00351, 00411
00175, 00288, 00328, 00406
00176, 00288, 00335, 00409
00177, 00288, 00338, 00408
00178, 00288, 00313, 00412
00179, 00288, 00356, 00408
00180, 00288, 00326, 00411
00181, 00288, 00351, 00416
00182, 00288, 00338, 00408
00183, 00288, 00335, 00408
00184, 00288, 00315, 00408
00185, 00288, 00318, 00411
00186, 00288, 00336, 00404
00187, 00288, 00361, 00406
00188, 00288, 00323, 00414
00189, 00288, 00338, 00411
00190, 00288, 00310, 00411
00191, 00288, 00338, 00405
00192, 00288, 00345, 00412
00193, 00288, 00322, 00408
00194, 00288, 00333, 00410
00195, 00288, 00326, 00415
00196, 00288, 00331, 00413
00197, 00288, 00312, 00411
00198, 00288, 00366, 00409
00199, 00288, 00337, 00415
00200, 00288, 00353, 00406
00201, 00288, 00336, 00408
00202, 00288, 00328, 00411
00203, 00288, 00358, 00412
00204, 00288, 00303, 00411
00205, 00288, 00312, 00405
00206, 00288, 00355, 00409
00207, 00288, 00333, 00411
00208, 00288, 00333, 00411
00209, 00288, 00335, 00413
00210, 00288, 00311, 00416
00211, 00288, 00327, 00410
00212, 00288, 00305, 00404
00213, 00288, 00331, 00408
00214, 00288, 00370, 00408
00215, 00288, 00368, 00405
00216, 00288, 00316, 00410
00217, 00288, 00323, 00415
00218, 00288, 00309, 00410
00219, 00288, 00311, 00404
00220, 00288, 00323, 00405
00221, 00288, 00361, 00412
00222, 00288, 00325, 00412
00223, 00288, 00360, 00410
00224, 00288, 00355, 00412
00225, 00288, 00353, 00412
00226, 00288, 00341, 00408
00227, 00288, 00363, 00410
00228, 00288, 00353, 00411
00229, 00288, 00368, 00412
00230, 00288, 00303, 00409
00231, 00288, 00321, 00411
00232, 00288, 00306, 00410
00233, 00288, 00341, 00408
00234, 00288, 00361, 00411
00235, 00288, 00315, 00412
00236, 00288, 00301, 00410
00237, 00288, 00368, 00406
00238, 00288, 00315, 00413
00239, 00288, 00352, 00416
