Run, Hit, HitSpeed, StopPos 
00007, 00288, 00313, 00406
00008, 00288, 00340, 00410
00009, 00288, 00323, 00410
00010, 00288, 00338, 00413
00011, 00288, 00340, 00404
00012, 00288, 00336, 00410
00013, 00288, 00363, 00409
00014, 00288, 00311, 00404
00015, 00288, 00361, 00411
00016, 00288, 00318, 00412
00017, 00288, 00331, 00414
00018, 00288, 00309, 00410
00019, 00288, 00351, 00415
00020, 00288, 00352, 00408
00021, 00288, 00333, 00407
00022, 00288, 00348, 00410
00023, 00288, 00313, 00413
00024, 00288, 00330, 00414
00025, 00288, 00316, 00403
00026, 00288, 00313, 00405
00027, 00288, 00338, 00407
00028, 00288, 00331, 00407
00029, 00288, 00306, 00411
00030, 00288, 00311, 00416
00031, 00288, 00303, 00416
00032, 00288, 00331, 00408
00033, 00288, 00321, 00407
00034, 00288, 00316, 00407
00035, 00288, 00306, 00410
00036, 00288, 00316, 00411
00037, 00288, 00341, 00415
00038, 00288, 00299, 00415
00039, 00288, 00320, 00406
00040, 00288, 00303, 00408
00041, 00288, 00360, 00410
00042, 00288, 00330, 00410
00043, 00288, 00318, 00406
00044, 00288, 00366, 00412
00045, 00288, 00345, 00417
00046, 00288, 00360, 00410
00047, 00288, 00350, 00409
00048, 00288, 00333, 00409
00049, 00288, 00323, 00413
00050, 00288, 00320, 00410
00051, 00288, 00325, 00414
00052, 00288, 00351, 00414
00053, 00288, 00325, 00404
00054, 00288, 00338, 00404
00055, 00288, 00366, 00405
00056, 00288, 00316, 00412
00057, 00288, 00366, 00409
00058, 00288, 00349, 00410
00059, 00288, 00331, 00416
00060, 00288, 00318, 00411
00061, 00288, 00360, 00412
00062, 00288, 00341, 00403
00063, 00288, 00358, 00414
00064, 00288, 00327, 00410
00065, 00288, 00333, 00408
00066, 00288, 00331, 00415
00067, 00288, 00340, 00408
00068, 00288, 00310, 00411
00069, 00288, 00330, 00410
00070, 00288, 00331, 00416
00071, 00288, 00325, 00403
00072, 00288, 00323, 00404
00073, 00288, 00320, 00412
00074, 00288, 00356, 00412
00075, 00288, 00325, 00415
00076, 00288, 00323, 00406
00077, 00288, 00328, 00412
00078, 00288, 00355, 00412
00079, 00288, 00336, 00410
00080, 00288, 00356, 00414
00081, 00288, 00317, 00414
00082, 00288, 00326, 00410
00083, 00288, 00343, 00402
00084, 00288, 00360, 00406
00085, 00288, 00326, 00404
00086, 00288, 00334, 00406
00087, 00288, 00358, 00412
00088, 00288, 00358, 00417
00089, 00288, 00300, 00417
00090, 00288, 00366, 00403
00091, 00288, 00331, 00405
00092, 00288, 00314, 00412
00093, 00288, 00327, 00413
00094, 00288, 00370, 00412
00095, 00288, 00306, 00414
00096, 00288, 00310, 00411
00097, 00288, 00331, 00405
00098, 00288, 00336, 00408
00099, 00288, 00346, 00411
00100, 00288, 00306, 00411
00101, 00288, 00318, 00411
00102, 00288, 00306, 00409
00103, 00288, 00330, 00412
00104, 00288, 00334, 00406
00105, 00288, 00313, 00410
00106, 00288, 00330, 00414
00107, 00288, 00325, 00417
00108, 00288, 00325, 00404
00109, 00288, 00315, 00410
00110, 00288, 00303, 00417
00111, 00288, 00318, 00408
00112, 00288, 00341, 00406
00113, 00288, 00344, 00404
00114, 00288, 00326, 00409
00115, 00288, 00313, 00405
00116, 00288, 00335, 00410
00117, 00288, 00307, 00416
00118, 00288, 00308, 00412
00119, 00288, 00353, 00410
00120, 00288, 00338, 00408
00121, 00288, 00300, 00414
00122, 00288, 00368, 00406
00123, 00288, 00308, 00413
00124, 00288, 00333, 00416
00125, 00288, 00329, 00412
00126, 00288, 00363, 00409
00127, 00288, 00311, 00402
00128, 00288, 00321, 00412
00129, 00288, 00370, 00411
00130, 00288, 00355, 00412
00131, 00288, 00339, 00413
00132, 00288, 00323, 00411
00133, 00288, 00328, 00411
00134, 00288, 00356, 00405
00135, 00288, 00325, 00413
00136, 00288, 00367, 00410
00137, 00288, 00353, 00413
00138, 00288, 00316, 00414
00139, 00288, 00318, 00416
00140, 00288, 00331, 00409
00141, 00288, 00323, 00399
00142, 00288, 00318, 00407
00143, 00288, 00358, 00410
00144, 00288, 00335, 00409
00145, 00288, 00335, 00409
00146, 00288, 00316, 00413
00147, 00288, 00326, 00411
00148, 00288, 00328, 00406
00149, 00288, 00373, 00408
00150, 00288, 00316, 00409
00151, 00288, 00329, 00412
00152, 00288, 00330, 00413
00153, 00288, 00328, 00414
00154, 00288, 00305, 00412
00155, 00288, 00344, 00406
00156, 00288, 00358, 00407
00157, 00288, 00322, 00413
00158, 00288, 00361, 00414
00159, 00288, 00352, 00408
00160, 00288, 00358, 00411
00161, 00288, 00305, 00411
00162, 00288, 00368, 00409
00163, 00288, 00333, 00412
00164, 00288, 00335, 00410
00165, 00288, 00320, 00412
00166, 00288, 00339, 00413
00167, 00288, 00351, 00416
00168, 00288, 00353, 00416
00169, 00288, 00330, 00410
