Run, Hit, HitSpeed, StopPos 
00007, 00005, 01856, 00017
00008, 00006, 02041, 00017
00009, 00006, 01937, 00017
00010, 00006, 01938, 00017
00011, 00005, 01999, 00014
00012, 00002, 08521, 00007
00013, 00004, 02491, 00013
00014, 00006, 01799, 00016
00015, 00006, 01911, 00016
00016, 00006, 01799, 00017
00017, 00006, 01792, 00017
00018, 00004, 02502, 00014
00019, 00005, 02099, 00016
00020, 00005, 02166, 00016
00021, 00005, 02036, 00017
00022, 00005, 01937, 00016
00023, 00005, 01848, 00017
00024, 00005, 02043, 00016
00025, 00006, 01938, 00018
00026, 00004, 02479, 00014
00027, 00006, 01849, 00018
00028, 00004, 02504, 00013
00029, 00006, 01891, 00017
00030, 00006, 01951, 00017
00031, 00005, 02455, 00013
00032, 00006, 02124, 00016
00033, 00006, 02094, 00017
00034, 00006, 02168, 00015
00035, 00006, 02151, 00015
00036, 00006, 01952, 00015
00037, 00005, 02116, 00013
00038, 00006, 02104, 00016
00039, 00005, 02436, 00013
00040, 00006, 02144, 00016
00041, 00006, 02059, 00015
00042, 00005, 02036, 00014
00043, 00006, 01864, 00015
00044, 00005, 02108, 00014
00045, 00005, 02018, 00014
00046, 00004, 02453, 00011
00047, 00005, 02169, 00014
00048, 00005, 01874, 00014
00049, 00005, 02054, 00014
00050, 00005, 01857, 00015
00051, 00005, 01958, 00015
00052, 00004, 02096, 00013
00053, 00005, 02011, 00014
00054, 00004, 02051, 00012
00055, 00005, 02101, 00014
00056, 00006, 01856, 00016
00057, 00005, 02059, 00014
00058, 00005, 01969, 00015
00059, 00005, 02021, 00014
00060, 00005, 02129, 00014
00061, 00006, 01806, 00016
00062, 00004, 02433, 00012
00063, 00004, 02501, 00013
00064, 00005, 02046, 00015
00065, 00005, 01918, 00015
00066, 00005, 01974, 00016
00067, 00006, 01935, 00017
00068, 00004, 02413, 00013
00069, 00005, 02134, 00014
00070, 00004, 02509, 00013
00071, 00005, 02024, 00014
00072, 00006, 01989, 00016
00073, 00005, 02055, 00014
00074, 00006, 01951, 00015
00075, 00006, 01919, 00016
00076, 00005, 02026, 00014
00077, 00005, 02074, 00014
00078, 00006, 01929, 00016
00079, 00003, 03552, 00009
00080, 00006, 01871, 00015
00081, 00006, 01962, 00016
00082, 00004, 02473, 00012
00083, 00006, 01996, 00015
00084, 00005, 02000, 00014
00085, 00007, 01756, 00017
00086, 00006, 02001, 00015
00087, 00006, 02039, 00015
00088, 00006, 01791, 00016
00089, 00006, 01928, 00016
00090, 00006, 01906, 00016
00091, 00006, 02058, 00015
00092, 00006, 01912, 00016
00093, 00006, 01883, 00015
00094, 00004, 02501, 00012
00095, 00006, 01893, 00015
00096, 00006, 01978, 00015
00097, 00006, 02043, 00015
00098, 00005, 02148, 00014
00099, 00006, 02010, 00015
00100, 00004, 02499, 00012
00101, 00005, 02453, 00013
00102, 00006, 01936, 00016
00103, 00006, 01923, 00016
00104, 00006, 01819, 00016
00105, 00006, 02101, 00016
00106, 00006, 01984, 00016
00107, 00006, 02022, 00016
00108, 00006, 01970, 00017
00109, 00005, 02123, 00015
00110, 00005, 02166, 00015
00111, 00004, 02496, 00013
00112, 00005, 02004, 00016
00113, 00005, 02091, 00016
00114, 00005, 01984, 00016
00115, 00004, 02488, 00013
00116, 00005, 02051, 00016
00117, 00006, 01931, 00018
00118, 00006, 01796, 00018
00119, 00006, 01899, 00017
00120, 00005, 02151, 00016
00121, 00006, 01764, 00018
00122, 00005, 02109, 00017
00123, 00004, 02435, 00014
