Run, Hit, HitSpeed, StopPos 
00007, 00185, 00369, 00275
00008, 00179, 00364, 00273
00009, 00177, 00353, 00271
00010, 00179, 00354, 00276
00011, 00183, 00364, 00272
00012, 00187, 00374, 00282
00013, 00179, 00362, 00270
00014, 00176, 00356, 00267
00015, 00181, 00362, 00274
00016, 00183, 00367, 00273
00017, 00184, 00364, 00274
00018, 00183, 00375, 00269
00019, 00181, 00364, 00269
00020, 00180, 00366, 00273
00021, 00185, 00367, 00274
00022, 00182, 00371, 00269
00023, 00184, 00367, 00276
00024, 00179, 00362, 00271
00025, 00181, 00362, 00280
00026, 00177, 00354, 00269
00027, 00183, 00366, 00274
00028, 00186, 00371, 00275
00029, 00180, 00367, 00266
00030, 00185, 00364, 00280
00031, 00180, 00361, 00274
00032, 00179, 00367, 00276
00033, 00175, 00355, 00268
00034, 00178, 00366, 00274
00035, 00184, 00374, 00276
00036, 00181, 00363, 00274
00037, 00176, 00356, 00271
00038, 00175, 00359, 00263
00039, 00178, 00362, 00267
00040, 00182, 00373, 00274
00041, 00185, 00364, 00275
00042, 00181, 00367, 00271
00043, 00178, 00367, 00266
00044, 00183, 00374, 00274
00045, 00183, 00374, 00273
00046, 00179, 00366, 00270
00047, 00174, 00347, 00272
00048, 00176, 00355, 00271
00049, 00183, 00368, 00272
00050, 00179, 00364, 00269
00051, 00184, 00366, 00270
00052, 00185, 00370, 00277
00053, 00180, 00366, 00274
00054, 00176, 00359, 00273
00055, 00176, 00359, 00273
00056, 00185, 00366, 00273
00057, 00182, 00372, 00278
00058, 00177, 00354, 00270
00059, 00176, 00356, 00267
00060, 00181, 00357, 00276
00061, 00181, 00367, 00269
00062, 00182, 00374, 00269
00063, 00185, 00372, 00270
00064, 00182, 00364, 00269
00065, 00182, 00375, 00273
00066, 00184, 00369, 00275
00067, 00184, 00371, 00276
00068, 00181, 00367, 00273
00069, 00175, 00359, 00269
00070, 00182, 00369, 00277
00071, 00182, 00363, 00271
00072, 00182, 00369, 00270
00073, 00183, 00372, 00272
00074, 00179, 00367, 00267
00075, 00180, 00360, 00271
00076, 00174, 00357, 00265
00077, 00180, 00364, 00275
00078, 00183, 00374, 00274
00079, 00181, 00361, 00277
00080, 00177, 00350, 00274
00081, 00177, 00346, 00268
00082, 00178, 00362, 00268
00083, 00183, 00369, 00276
00084, 00179, 00366, 00270
00085, 00184, 00371, 00273
00086, 00185, 00365, 00274
00087, 00184, 00365, 00279
00088, 00183, 00366, 00271
00089, 00181, 00362, 00268
00090, 00179, 00365, 00273
00091, 00179, 00364, 00274
00092, 00181, 00361, 00277
00093, 00180, 00358, 00273
00094, 00184, 00367, 00277
00095, 00183, 00365, 00273
00096, 00183, 00367, 00269
00097, 00181, 00367, 00276
00098, 00178, 00361, 00272
00099, 00178, 00367, 00269
00100, 00181, 00361, 00274
00101, 00178, 00357, 00271
00102, 00181, 00367, 00277
00103, 00181, 00359, 00277
00104, 00175, 00356, 00267
00105, 00177, 00359, 00269
00106, 00188, 00371, 00274
00107, 00189, 00371, 00278
00108, 00181, 00366, 00268
00109, 00182, 00363, 00274
00110, 00182, 00371, 00274
00111, 00178, 00367, 00267
00112, 00184, 00369, 00278
00113, 00181, 00361, 00271
00114, 00176, 00357, 00271
00115, 00183, 00363, 00278
00116, 00178, 00357, 00269
00117, 00185, 00369, 00277
00118, 00183, 00372, 00268
00119, 00185, 00369, 00277
00120, 00183, 00364, 00273
00121, 00177, 00359, 00266
00122, 00184, 00366, 00279
00123, 00182, 00366, 00276
00124, 00181, 00357, 00282
00125, 00173, 00350, 00271
00126, 00180, 00356, 00272
00127, 00185, 00369, 00276
00128, 00184, 00366, 00272
00129, 00180, 00367, 00267
00130, 00181, 00366, 00272
00131, 00184, 00369, 00276
00132, 00185, 00363, 00280
00133, 00177, 00357, 00266
00134, 00189, 00375, 00280
00135, 00186, 00376, 00278
00136, 00181, 00360, 00277
00137, 00174, 00359, 00270
00138, 00184, 00366, 00277
00139, 00184, 00364, 00278
00140, 00183, 00367, 00269
00141, 00186, 00376, 00278
00142, 00182, 00369, 00273
00143, 00181, 00359, 00274
00144, 00181, 00366, 00277
00145, 00184, 00364, 00279
00146, 00177, 00359, 00275
00147, 00171, 00351, 00265
00148, 00180, 00359, 00277
00149, 00184, 00369, 00274
00150, 00182, 00364, 00269
00151, 00185, 00372, 00274
00152, 00188, 00371, 00275
00153, 00185, 00369, 00278
00154, 00180, 00357, 00272
00155, 00179, 00364, 00270
00156, 00188, 00376, 00277
00157, 00183, 00369, 00275
00158, 00179, 00359, 00279
00159, 00177, 00355, 00271
00160, 00179, 00366, 00270
00161, 00184, 00363, 00277
00162, 00179, 00367, 00263
00163, 00187, 00378, 00274
00164, 00182, 00367, 00271
00165, 00183, 00364, 00280
00166, 00180, 00366, 00270
00167, 00183, 00367, 00275
00168, 00178, 00366, 00278
00169, 00177, 00356, 00277
00170, 00176, 00354, 00271
00171, 00182, 00369, 00270
00172, 00183, 00367, 00274
00173, 00183, 00372, 00270
00174, 00178, 00362, 00265
00175, 00177, 00356, 00273
00176, 00179, 00363, 00273
00177, 00189, 00374, 00280
00178, 00182, 00371, 00268
00179, 00179, 00367, 00268
00180, 00184, 00369, 00282
00181, 00178, 00364, 00272
00182, 00181, 00362, 00277
00183, 00185, 00367, 00280
00184, 00186, 00371, 00272
00185, 00178, 00366, 00265
00186, 00179, 00361, 00268
00187, 00181, 00367, 00275
00188, 00182, 00371, 00274
00189, 00181, 00366, 00274
00190, 00176, 00357, 00275
00191, 00174, 00356, 00268
00192, 00175, 00352, 00273
00193, 00178, 00367, 00271
00194, 00181, 00362, 00270
00195, 00188, 00372, 00277
00196, 00183, 00370, 00270
00197, 00181, 00367, 00272
00198, 00185, 00366, 00274
00199, 00182, 00366, 00270
00200, 00187, 00381, 00279
00201, 00184, 00366, 00277
00202, 00185, 00362, 00285
00203, 00174, 00350, 00268
00204, 00175, 00354, 00267
00205, 00183, 00369, 00275
00206, 00182, 00367, 00269
00207, 00185, 00372, 00272
00208, 00181, 00367, 00272
00209, 00185, 00366, 00279
00210, 00180, 00359, 00270
00211, 00175, 00356, 00264
00212, 00185, 00371, 00283
00213, 00182, 00371, 00278
00214, 00176, 00354, 00276
00215, 00174, 00355, 00271
00216, 00184, 00366, 00274
00217, 00182, 00365, 00271
00218, 00179, 00359, 00266
00219, 00179, 00367, 00271
00220, 00184, 00369, 00276
00221, 00182, 00366, 00273
00222, 00180, 00357, 00271
00223, 00182, 00369, 00271
00224, 00180, 00364, 00272
00225, 00179, 00362, 00277
00226, 00177, 00354, 00269
00227, 00180, 00366, 00269
00228, 00184, 00369, 00274
00229, 00181, 00366, 00272
00230, 00185, 00366, 00276
00231, 00181, 00364, 00272
00232, 00183, 00364, 00279
00233, 00180, 00363, 00270
00234, 00183, 00367, 00275
00235, 00175, 00359, 00269
00236, 00177, 00354, 00280
00237, 00179, 00354, 00277
00238, 00176, 00359, 00264
00239, 00185, 00364, 00280
00240, 00180, 00366, 00265
00241, 00183, 00374, 00270
00242, 00183, 00367, 00273
00243, 00182, 00364, 00272
00244, 00184, 00369, 00274
00245, 00184, 00374, 00274
00246, 00180, 00354, 00276
00247, 00175, 00359, 00271
00248, 00181, 00365, 00271
00249, 00178, 00361, 00272
00250, 00178, 00359, 00267
00251, 00182, 00374, 00269
00252, 00184, 00366, 00273
00253, 00179, 00361, 00271
00254, 00179, 00361, 00272
00255, 00183, 00369, 00270
00256, 00187, 00371, 00282
00257, 00180, 00362, 00275
00258, 00175, 00354, 00273
00259, 00172, 00346, 00270
00260, 00176, 00352, 00270
00261, 00180, 00362, 00274
00262, 00184, 00371, 00267
00263, 00187, 00372, 00276
00264, 00185, 00371, 00280
00265, 00179, 00359, 00274
00266, 00179, 00358, 00273
00267, 00184, 00373, 00272
00268, 00182, 00373, 00277
00269, 00184, 00369, 00278
00270, 00177, 00351, 00268
00271, 00182, 00370, 00276
00272, 00178, 00366, 00269
00273, 00179, 00364, 00268
00274, 00178, 00366, 00266
00275, 00178, 00364, 00269
00276, 00183, 00374, 00277
00277, 00183, 00364, 00272
00278, 00183, 00367, 00273
00279, 00179, 00366, 00274
00280, 00179, 00359, 00280
00281, 00175, 00358, 00275
00282, 00173, 00349, 00270
00283, 00183, 00368, 00277
00284, 00185, 00369, 00271
00285, 00183, 00369, 00268
00286, 00183, 00366, 00276
00287, 00184, 00371, 00274
00288, 00182, 00375, 00274
00289, 00180, 00367, 00269
00290, 00183, 00366, 00276
00291, 00183, 00372, 00277
00292, 00180, 00359, 00273
00293, 00178, 00356, 00274
00294, 00178, 00364, 00267
00295, 00180, 00362, 00267
00296, 00183, 00367, 00275
00297, 00179, 00361, 00268
00298, 00183, 00367, 00273
00299, 00182, 00366, 00269
00300, 00185, 00371, 00276
00301, 00182, 00369, 00276
00302, 00180, 00355, 00275
00303, 00177, 00346, 00280
00304, 00176, 00354, 00274
00305, 00185, 00364, 00279
00306, 00178, 00365, 00268
00307, 00183, 00374, 00270
00308, 00185, 00366, 00278
00309, 00181, 00364, 00272
00310, 00174, 00359, 00267
00311, 00181, 00360, 00274
00312, 00189, 00377, 00279
00313, 00180, 00367, 00277
00314, 00170, 00349, 00261
00315, 00179, 00366, 00272
00316, 00183, 00374, 00274
00317, 00180, 00366, 00272
00318, 00183, 00369, 00275
00319, 00184, 00374, 00273
00320, 00180, 00364, 00275
00321, 00177, 00359, 00266
00322, 00183, 00374, 00274
00323, 00185, 00367, 00278
00324, 00181, 00357, 00279
00325, 00173, 00350, 00274
00326, 00175, 00353, 00268
00327, 00179, 00364, 00276
00328, 00179, 00364, 00270
00329, 00182, 00370, 00270
00330, 00182, 00374, 00273
00331, 00179, 00365, 00268
00332, 00185, 00362, 00278
00333, 00184, 00372, 00269
00334, 00184, 00368, 00273
00335, 00184, 00369, 00280
00336, 00180, 00364, 00277
00337, 00178, 00366, 00273
00338, 00180, 00362, 00269
00339, 00184, 00368, 00276
00340, 00184, 00372, 00272
00341, 00179, 00366, 00266
00342, 00184, 00367, 00278
00343, 00182, 00361, 00273
00344, 00184, 00360, 00277
00345, 00181, 00364, 00272
00346, 00179, 00362, 00273
00347, 00180, 00361, 00278
00348, 00176, 00350, 00270
00349, 00176, 00357, 00270
00350, 00180, 00360, 00275
00351, 00181, 00366, 00274
00352, 00183, 00369, 00273
00353, 00175, 00359, 00264
00354, 00183, 00366, 00277
00355, 00183, 00369, 00274
00356, 00179, 00365, 00271
