Run, Hit, HitSpeed, StopPos 
00288, 00179, 00359, 00274
00576, 00455, 00338, 00559
00864, 00747, 00349, 00842
01152, 01039, 00352, 01138
01440, 01331, 00355, 01422
01728, 01615, 00349, 01713
02016, 01899, 00351, 01992
02304, 02195, 00360, 02294
02592, 02483, 00357, 02579
02880, 02771, 00362, 02865
03168, 03051, 00347, 03153
03456, 03343, 00349, 03440
03744, 03623, 00343, 03720
04032, 03915, 00348, 04012
04320, 04211, 00356, 04308
04608, 04499, 00354, 04593
04896, 04787, 00357, 04883
05184, 05075, 00359, 05176
05472, 05359, 00351, 05456
05760, 05647, 00350, 05751
06048, 05927, 00339, 06029
06336, 06223, 00357, 06325
06624, 06507, 00344, 06602
06912, 06799, 00356, 06898
07200, 07087, 00357, 07183
Run, Hit, HitSpeed, StopPos 
00288, 00183, 00373, 00275
00576, 00459, 00347, 00558
00864, 00755, 00359, 00850
01152, 01043, 00359, 01143
01440, 01327, 00359, 01419
01728, 01611, 00341, 01719
02016, 01899, 00344, 01995
02304, 02183, 00341, 02280
02592, 02471, 00339, 02567
02880, 02763, 00337, 02858
03168, 03047, 00342, 03143
03456, 03331, 00334, 03429
03744, 03619, 00332, 03721
04032, 03911, 00337, 04008
04320, 04191, 00322, 04298
04608, 04483, 00331, 04587
04896, 04771, 00334, 04871
05184, 05059, 00334, 05160
05472, 05351, 00341, 05451
05760, 05639, 00341, 05736
06048, 05931, 00344, 06025
06336, 06215, 00333, 06315
06624, 06507, 00345, 06598
06912, 06791, 00342, 06891
07200, 07079, 00335, 07178
