Run, Hit, HitSpeed, StopPos 
00288, 00184, 00371, 00277
00576, 00472, 00372, 00566
00864, 00764, 00377, 00856
01152, 01048, 00371, 01144
01440, 01332, 00359, 01431
01728, 01620, 00359, 01724
02016, 01908, 00364, 02009
02304, 02196, 00365, 02295
02592, 02484, 00361, 02579
02880, 02776, 00371, 02870
03168, 03056, 00356, 03156
03456, 03348, 00360, 03447
03744, 03640, 00369, 03743
04032, 03924, 00367, 04018
04320, 04212, 00366, 04312
04608, 04500, 00362, 04602
04896, 04788, 00364, 04888
05184, 05076, 00361, 05179
05472, 05364, 00362, 05461
05760, 05652, 00365, 05753
06048, 05936, 00359, 06030
06336, 06228, 00365, 06327
06624, 06520, 00368, 06615
06912, 06808, 00371, 06905
07200, 07092, 00366, 07194
07488, 07380, 00364, 07479
07776, 07668, 00362, 07771
08064, 07960, 00369, 08050
08352, 08244, 00356, 08344
08640, 08540, 00377, 08633
