Run, Hit, HitSpeed, StopPos 
00288, 00186, 00381, 00285
00576, 00470, 00371, 00568
00864, 00760, 00375, 00860
01152, 01042, 00367, 01138
01440, 01338, 00378, 01435
01728, 01626, 00379, 01723
02016, 01914, 00379, 02007
02304, 02198, 00372, 02297
02592, 02486, 00367, 02583
02880, 02774, 00374, 02877
03168, 03054, 00359, 03156
03456, 03350, 00372, 03453
03744, 03640, 00372, 03738
04032, 03926, 00369, 04020
04320, 04218, 00381, 04313
04608, 04502, 00369, 04597
04896, 04786, 00362, 04890
05184, 05078, 00372, 05175
05472, 05370, 00374, 05469
05760, 05654, 00366, 05755
06048, 05938, 00363, 06041
06336, 06226, 00362, 06334
06624, 06518, 00367, 06616
06912, 06806, 00371, 06908
07200, 07098, 00380, 07189
