index , fval, rval 
00000,00250,00250
00001,00250,00250
00002,00250,00250
00003,00250,00250
00004,00250,00250
00005,00250,00250
00006,00250,00250
00007,00250,00250
00008,00250,00250
00009,00250,00250
00010,00250,00250
00011,00250,00250
00012,00250,00250
00013,00250,00250
00014,00250,00250
00015,00250,00250
00016,00250,00250
00017,00250,00250
00018,00250,00250
00019,00250,00250
00020,00250,00250
00021,00250,00250
00022,00250,00250
00023,00250,00250
00024,00250,00250
00025,00250,00250
00026,00250,00250
00027,00250,00250
00028,00242,00242
00029,00226,00226
00030,00210,00210
00031,00198,00198
00032,00186,00186
00033,00176,00176
00034,00168,00168
00035,00160,00160
00036,00152,00152
00037,00144,00005
00038,00138,00001
00039,00134,00001
00040,00130,00001
00041,00126,00000
00042,00122,00000
00043,00118,00013
00044,00114,00000
00045,00110,00007
00046,00106,00001
00047,00102,00001
00048,00099,00000
00049,00097,00000
00050,00095,00000
00051,00092,00004
00052,00089,00000
00053,00086,00062
00054,00083,00000
00055,00080,00000
00056,00078,00000
00057,00045,00000
00058,00033,00002
00059,00035,00000
00060,00031,00000
00061,00034,00000
00062,00037,00000
00063,00037,00009
00064,00030,00000
00065,00033,00000
00066,00030,00000
00067,00029,00003
00068,00026,00000
00069,00030,00001
00070,00029,00010
00071,00028,00001
00072,00026,00001
00073,00031,00005
00074,00026,00011
00075,00026,00004
00076,00030,00007
00077,00024,00003
00078,00020,00007
00079,00028,00003
00080,00024,00000
00081,00021,00001
00082,00026,00000
00083,00021,00000
00084,00021,00101
00085,00026,00000
00086,00022,00005
00087,00018,00001
00088,00017,00000
00089,00018,00000
00090,00018,00004
00091,00017,00000
00092,00017,00012
00093,00025,00000
00094,00024,00000
00095,00019,00000
00096,00022,00031
00097,00020,00005
00098,00020,00005
00099,00024,00002
00100,00016,00001
00101,00021,00000
00102,00012,00000
00103,00014,00000
00104,00012,00009
00105,00014,00000
00106,00014,00003
00107,00013,00000
00108,00014,00001
00109,00014,00004
00110,00015,00002
00111,00018,00113
00112,00011,00000
00113,00014,00016
00114,00013,00002
00115,00017,00005
00116,00020,00001
00117,00016,00113
00118,00012,00017
00119,00014,00001
00120,00010,00108
00121,00011,00005
00122,00017,00118
00123,00016,00000
00124,00013,00001
00125,00011,00000
00126,00012,00254
00127,00009,00002
00128,00010,00003
00129,00010,00000
00130,00012,00000
00131,00015,00000
00132,00010,00249
00133,00009,00000
00134,00009,00000
00135,00011,00010
00136,00011,00000
00137,00011,00097
00138,00010,00001
00139,00012,00000
00140,00010,00001
00141,00010,00000
00142,00009,00000
00143,00011,00000
00144,00008,00254
00145,00015,00000
00146,00010,00252
00147,00011,00252
00148,00013,00253
00149,00010,00000
00150,00011,00000
00151,00013,00000
00152,00010,00000
00153,00010,00000
00154,00010,00000
00155,00009,00001
00156,00010,00251
00157,00009,00006
00158,00010,00001
00159,00009,00000
00160,00008,00000
00161,00011,00000
00162,00008,00251
00163,00009,00000
00164,00010,00000
00165,00010,00000
00166,00007,00003
00167,00010,00000
00168,00011,00000
00169,00008,00000
00170,00008,00004
00171,00010,00000
00172,00010,00004
00173,00011,00001
00174,00009,00000
00175,00010,00000
00176,00008,00000
00177,00008,00000
00178,00007,00000
00179,00011,00001
00180,00011,00000
00181,00010,00000
00182,00012,00001
00183,00012,00000
00184,00009,00004
00185,00007,00000
00186,00007,00252
00187,00013,00000
00188,00007,00000
00189,00008,00001
00190,00008,00251
00191,00009,00001
00192,00010,00000
00193,00006,00008
00194,00006,00001
00195,00009,00000
00196,00006,00254
00197,00008,00003
00198,00005,00000
00199,00008,00000
00200,00012,00000
00201,00005,00000
00202,00011,00010
00203,00010,00000
00204,00015,00000
00205,00008,00251
00206,00007,00000
00207,00011,00000
00208,00007,00255
00209,00008,00253
00210,00000,00003
00211,00008,00000
00212,00011,00000
00213,00012,00000
00214,00007,00003
00215,00000,00000
00216,00010,00000
00217,00010,00001
00218,00013,00000
00219,00009,00005
00220,00008,00002
00221,00007,00000
00222,00012,00000
00223,00009,00000
00224,00006,00000
00225,00006,00001
00226,00010,00000
00227,00015,00000
00228,00010,00002
00229,00012,00000
00230,00011,00000
00231,00016,00000
00232,00017,00000
00233,00014,00000
00234,00010,00000
00235,00009,00001
00236,00006,00000
00237,00008,00077
00238,00008,00000
00239,00007,00003
00240,00007,00000
00241,00012,00000
00242,00000,00001
00243,00010,00000
00244,00009,00000
00245,00006,00000
00246,00013,00000
00247,00012,00001
00248,00013,00000
00249,00000,00252
00250,00010,00000
00251,00007,00000
00252,00009,00000
00253,00000,00013
00254,00015,00000
00255,00001,00252
