Run, Hit, HitSpeed, StopPos 
index , fval, rval 
00000,00250,00250
00001,00250,00250
00002,00250,00250
00003,00250,00250
00004,00250,00250
00005,00250,00250
00006,00250,00250
00007,00250,00250
00008,00250,00250
00009,00250,00250
00010,00250,00250
00011,00250,00250
00012,00250,00250
00013,00250,00250
00014,00250,00250
00015,00250,00250
00016,00250,00250
00017,00250,00250
00018,00250,00250
00019,00138,00250
00020,00000,00250
00021,00000,00250
00022,00000,00250
00023,00001,00250
00024,00030,00250
00025,00008,00250
00026,00001,00250
00027,00005,00250
00028,00003,00242
00029,00012,00226
00030,00035,00210
00031,00021,00198
00032,00047,00186
00033,00027,00176
00034,00012,00168
00035,00011,00160
00036,00038,00152
00037,00115,00144
00038,00129,00138
00039,00134,00134
00040,00130,00130
00041,00126,00126
00042,00122,00122
00043,00118,00118
00044,00177,00114
00045,00170,00060
00046,00106,00066
00047,00102,00038
00048,00099,00043
00049,00097,00030
00050,00095,00035
00051,00038,00038
00052,00089,00033
00053,00086,00033
00054,00049,00032
00055,00080,00026
00056,00078,00031
00057,00076,00029
00058,00074,00030
00059,00072,00026
00060,00070,00032
00061,00068,00025
00062,00067,00027
00063,00066,00026
00064,00064,00028
00065,00102,00025
00066,00062,00023
00067,00090,00022
00068,00059,00023
00069,00043,00030
00070,00028,00019
00071,00055,00022
00072,00028,00021
00073,00082,00019
00074,00084,00020
00075,00112,00019
00076,00049,00021
00077,00048,00022
00078,00255,00028
00079,00047,00019
00080,00020,00021
00081,00011,00027
00082,00045,00017
00083,00045,00019
00084,00044,00019
00085,00044,00017
00086,00043,00019
00087,00042,00019
00088,00042,00016
00089,00041,00041
00090,00041,00015
00091,00065,00016
00092,00039,00019
00093,00113,00015
00094,00038,00013
00095,00038,00014
00096,00040,00021
00097,00061,00017
00098,00001,00015
00099,00007,00016
00100,00228,00018
00101,00050,00017
00102,00034,00016
00103,00006,00015
00104,00015,00015
00105,00103,00018
00106,00132,00015
00107,00106,00012
00108,00031,00015
00109,00031,00014
00110,00005,00014
00111,00030,00015
00112,00112,00012
00113,00142,00013
00114,00024,00020
00115,00051,00013
00116,00102,00020
00117,00149,00014
00118,00236,00012
00119,00009,00013
00120,00176,00011
00121,00005,00016
00122,00060,00011
00123,00115,00015
00124,00251,00014
00125,00069,00019
00126,00013,00017
00127,00000,00012
00128,00014,00016
00129,00015,00012
00130,00009,00011
00131,00002,00015
00132,00007,00016
00133,00003,00012
00134,00006,00015
00135,00008,00013
00136,00011,00015
00137,00254,00013
00138,00012,00012
00139,00163,00012
00140,00051,00013
00141,00014,00012
00142,00181,00009
00143,00001,00021
00144,00025,00021
00145,00008,00017
00146,00005,00020
00147,00002,00014
00148,00004,00009
00149,00006,00013
00150,00003,00011
00151,00241,00021
00152,00002,00011
00153,00003,00009
00154,00011,00010
00155,00002,00014
00156,00132,00009
00157,00000,00009
00158,00000,00021
00159,00006,00007
00160,00000,00013
00161,00151,00012
00162,00010,00015
00163,00001,00011
00164,00014,00007
00165,00020,00007
00166,00003,00007
00167,00017,00007
00168,00006,00011
00169,00003,00012
00170,00007,00009
00171,00255,00012
00172,00000,00014
00173,00001,00009
00174,00001,00006
00175,00002,00011
00176,00002,00023
00177,00001,00013
00178,00002,00009
00179,00008,00017
00180,00001,00012
00181,00123,00009
00182,00019,00008
00183,00004,00016
00184,00005,00024
00185,00002,00014
00186,00000,00013
00187,00001,00008
00188,00002,00008
00189,00000,00007
00190,00042,00011
00191,00002,00011
00192,00001,00010
00193,00000,00007
00194,00057,00017
00195,00002,00008
00196,00044,00008
00197,00000,00008
00198,00002,00011
00199,00000,00020
00200,00001,00021
00201,00011,00019
00202,00003,00009
00203,00006,00009
00204,00224,00014
00205,00000,00008
00206,00005,00011
00207,00001,00011
00208,00001,00005
00209,00002,00011
00210,00000,00011
00211,00000,00008
00212,00000,00011
00213,00000,00014
00214,00001,00009
00215,00003,00007
00216,00004,00009
00217,00005,00009
00218,00088,00007
00219,00001,00013
00220,00012,00006
00221,00002,00010
00222,00002,00011
00223,00007,00009
00224,00004,00017
00225,00004,00005
00226,00001,00014
00227,00025,00009
00228,00004,00005
00229,00000,00013
00230,00001,00011
00231,00001,00009
00232,00005,00010
00233,00001,00004
00234,00113,00021
00235,00010,00005
00236,00002,00008
00237,00000,00007
00238,00003,00007
00239,00006,00006
00240,00007,00008
00241,00003,00010
00242,00000,00008
00243,00001,00005
00244,00115,00006
00245,00002,00008
00246,00001,00006
00247,00005,00015
00248,00003,00007
00249,00005,00004
00250,00010,00010
00251,00000,00005
00252,00002,00006
00253,00005,00005
00254,00005,00006
00255,00000,00000
