index , fval, rval 
00000,00250,00250
00001,00250,00250
00002,00250,00250
00003,00250,00250
00004,00250,00250
00005,00250,00250
00006,00250,00250
00007,00250,00250
00008,00250,00250
00009,00250,00250
00010,00250,00250
00011,00250,00250
00012,00250,00250
00013,00250,00250
00014,00250,00250
00015,00250,00250
00016,00250,00250
00017,00250,00250
00018,00250,00250
00019,00250,00250
00020,00250,00250
00021,00250,00250
00022,00250,00250
00023,00250,00250
00024,00250,00250
00025,00250,00250
00026,00250,00250
00027,00250,00250
00028,00242,00242
00029,00226,00226
00030,00210,00210
00031,00198,00198
00032,00186,00186
00033,00176,00176
00034,00168,00168
00035,00160,00160
00036,00152,00152
00037,00144,00144
00038,00138,00138
00039,00134,00134
00040,00130,00130
00041,00126,00126
00042,00122,00122
00043,00118,00118
00044,00114,00109
00045,00110,00108
00046,00106,00187
00047,00102,00106
00048,00099,00087
00049,00097,00096
00050,00095,00083
00051,00092,00104
00052,00089,00091
00053,00086,00081
00054,00083,00066
00055,00080,00066
00056,00078,00065
00057,00076,00067
00058,00074,00070
00059,00072,00059
00060,00070,00064
00061,00068,00090
00062,00067,00061
00063,00066,00062
00064,00064,00064
00065,00063,00063
00066,00062,00062
00067,00060,00060
00068,00059,00059
00069,00058,00058
00070,00056,00056
00071,00055,00055
00072,00054,00054
00073,00052,00052
00074,00051,00051
00075,00050,00050
00076,00049,00049
00077,00048,00048
00078,00048,00048
00079,00047,00063
00080,00047,00047
00081,00046,00046
00082,00045,00045
00083,00045,00045
00084,00044,00044
00085,00044,00044
00086,00043,00043
00087,00037,00042
00088,00042,00042
00089,00041,00041
00090,00041,00041
00091,00040,00040
00092,00039,00039
00093,00039,00039
00094,00038,00038
00095,00038,00038
00096,00037,00037
00097,00019,00036
00098,00033,00036
00099,00035,00035
00100,00016,00035
00101,00034,00034
00102,00023,00034
00103,00013,00033
00104,00006,00033
00105,00008,00033
00106,00009,00042
00107,00009,00033
00108,00011,00031
00109,00009,00031
00110,00008,00031
00111,00017,00030
00112,00007,00030
00113,00020,00029
00114,00241,00029
00115,00010,00029
00116,00012,00028
00117,00215,00028
00118,00005,00027
00119,00005,00027
00120,00019,00027
00121,00003,00026
00122,00008,00026
00123,00013,00025
00124,00008,00025
00125,00006,00025
00126,00007,00024
00127,00011,00024
00128,00002,00024
00129,00230,00024
00130,00010,00024
00131,00006,00023
00132,00001,00023
00133,00011,00023
00134,00008,00023
00135,00009,00023
00136,00009,00022
00137,00004,00022
00138,00193,00022
00139,00015,00022
00140,00014,00022
00141,00205,00021
00142,00005,00021
00143,00006,00021
00144,00253,00021
00145,00010,00021
00146,00012,00020
00147,00231,00020
00148,00245,00020
00149,00003,00020
00150,00008,00020
00151,00014,00019
00152,00006,00019
00153,00002,00053
00154,00004,00024
00155,00246,00019
00156,00000,00018
00157,00006,00031
00158,00000,00040
00159,00001,00026
00160,00013,00048
00161,00232,00017
00162,00034,00026
00163,00002,00035
00164,00009,00035
00165,00014,00036
00166,00014,00027
00167,00002,00036
00168,00233,00016
00169,00001,00000
00170,00232,00046
00171,00008,00015
00172,00214,00025
00173,00229,00008
00174,00000,00033
00175,00069,00032
00176,00005,00003
00177,00246,00007
00178,00000,00027
00179,00241,00002
00180,00001,00006
00181,00082,00017
00182,00006,00012
00183,00001,00000
00184,00001,00036
00185,00240,00000
00186,00001,00002
00187,00001,00003
00188,00204,00000
00189,00245,00025
00190,00000,00002
00191,00243,00050
00192,00000,00032
00193,00253,00007
00194,00019,00025
00195,00006,00000
00196,00186,00000
00197,00014,00065
00198,00006,00050
00199,00246,00000
00200,00000,00188
00201,00221,00000
00202,00005,00145
00203,00010,00060
00204,00234,00038
00205,00005,00133
00206,00009,00101
00207,00173,00087
00208,00211,00054
00209,00000,00143
00210,00012,00224
00211,00000,00059
00212,00000,00172
00213,00248,00144
00214,00015,00134
00215,00001,00202
00216,00002,00086
00217,00030,00094
00218,00000,00049
00219,00000,00160
00220,00166,00182
00221,00026,00086
00222,00000,00065
00223,00028,00209
00224,00247,00050
00225,00000,00014
00226,00004,00000
00227,00000,00023
00228,00024,00190
00229,00000,00096
00230,00003,00204
00231,00146,00050
00232,00002,00070
00233,00000,00207
00234,00210,00203
00235,00000,00045
00236,00000,00213
00237,00003,00023
00238,00000,00026
00239,00015,00084
00240,00000,00000
00241,00002,00185
00242,00241,00145
00243,00000,00000
00244,00001,00101
00245,00015,00045
00246,00000,00021
00247,00004,00139
00248,00010,00143
00249,00006,00099
00250,00000,00076
00251,00000,00252
00252,00000,00070
00253,00001,00013
00254,00000,00101
00255,00238,00004
